"Player","Tree Traversal Time"
"1","36.11146535867566"
"2","0.35333832152986827"
"1","54.87268346923647"
"2","0.27238136381762595"
"1","51.439713837026694"
"2","0.3442662097453278"
"1","56.96539127090944"
"2","0.30839746218609027"
"1","57.32541682822799"
"2","0.317365610267404"
"1","57.06598593584433"
"2","0.30674209524916124"
"1","60.50502564102564"
"2","0.29145824066787557"
"1","53.01769278884818"
"2","0.1991801832022881"
"1","59.275211970074814"
"2","0.26562686689179416"
"1","50.63065755764304"
"2","0.1918351698011615"
"1","59.93709612277868"
"2","0.1951016067939492"
"1","56.30888439695832"
"2","0.21421738084957298"
"1","49.670713328868054"
"2","0.17274764609930574"
"1","58.29193278962366"
"2","0.172563834114658"
"1","50.97548176187199"
"2","0.16624977704544874"
"1","50.01063380876023"
"2","0.13581266410924672"
"1","41.43616127677446"
"2","0.12533241763482705"
"1","40.87800996401882"
"2","0.12963895316330107"
"1","51.768743957106444"
"2","0.13075860003717446"
"1","54.01679375453885"
"2","0.11472692516860591"
"1","51.88475641697224"
"2","0.10554117422226293"
"1","45.49059500959693"
"2","0.08240668416388086"
"1","48.46825916230367"
"2","0.04514809036884641"
"1","47.51862533044941"
"2","0.015981195317359816"
"1","46.75154308930385"
"2","0.01058125017803907"
"1","31.30115951112504"
"2","0.006773682437530107"
"1","21.5256497825071"
"2","0.006252238773417709"
"1","10.489965882250022"
"1","36.609438062713444"
"2","0.22714459209091634"
"1","49.33929313929314"
"2","0.2357204857777129"
"1","48.42438107688537"
"2","0.25758912201068374"
"1","48.57367515767057"
"2","0.21615083247670594"
"1","51.39145136119299"
"2","0.2154288376800333"
"1","50.571781756180734"
"2","0.21301366979839526"
"1","56.04070981210856"
"2","0.1929950361931372"
"1","50.01616589081676"
"2","0.225380583203557"
"1","50.03854588394062"
"2","0.17214126536631172"
"1","52.28042654446109"
"2","0.18153073833434547"
"1","50.761965811965815"
"2","0.169431660180572"
"1","53.63514986376022"
"2","0.20111882139952636"
"1","53.49581269698334"
