checkpointNum,timestamp,iteration,epoch,modelType,filename
0,1730665322409,7,0,MultiLayerNetwork,checkpoint_0_MultiLayerNetwork.zip
1,1730665356649,14,0,MultiLayerNetwork,checkpoint_1_MultiLayerNetwork.zip
2,1730665386725,20,0,MultiLayerNetwork,checkpoint_2_MultiLayerNetwork.zip
3,1730665417457,26,0,MultiLayerNetwork,checkpoint_3_MultiLayerNetwork.zip
4,1730665452462,32,0,MultiLayerNetwork,checkpoint_4_MultiLayerNetwork.zip
5,1730665484618,38,0,MultiLayerNetwork,checkpoint_5_MultiLayerNetwork.zip
6,1730665515844,44,0,MultiLayerNetwork,checkpoint_6_MultiLayerNetwork.zip
7,1730665546289,50,0,MultiLayerNetwork,checkpoint_7_MultiLayerNetwork.zip
8,1730665576682,56,0,MultiLayerNetwork,checkpoint_8_MultiLayerNetwork.zip
9,1730665606800,62,0,MultiLayerNetwork,checkpoint_9_MultiLayerNetwork.zip
10,1730665636981,68,0,MultiLayerNetwork,checkpoint_10_MultiLayerNetwork.zip
11,1730665666988,74,0,MultiLayerNetwork,checkpoint_11_MultiLayerNetwork.zip
12,1730665702171,81,0,MultiLayerNetwork,checkpoint_12_MultiLayerNetwork.zip
13,1730665734449,87,0,MultiLayerNetwork,checkpoint_13_MultiLayerNetwork.zip
14,1730665769665,93,0,MultiLayerNetwork,checkpoint_14_MultiLayerNetwork.zip
