checkpointNum,timestamp,iteration,epoch,modelType,filename
0,1730934800694,5,0,MultiLayerNetwork,checkpoint_0_MultiLayerNetwork.zip
1,1730934837110,11,0,MultiLayerNetwork,checkpoint_1_MultiLayerNetwork.zip
2,1730934873480,17,0,MultiLayerNetwork,checkpoint_2_MultiLayerNetwork.zip
3,1730934908878,23,0,MultiLayerNetwork,checkpoint_3_MultiLayerNetwork.zip
4,1730934945256,29,0,MultiLayerNetwork,checkpoint_4_MultiLayerNetwork.zip
5,1730934981747,35,0,MultiLayerNetwork,checkpoint_5_MultiLayerNetwork.zip
6,1730935017923,41,0,MultiLayerNetwork,checkpoint_6_MultiLayerNetwork.zip
7,1730935054364,47,0,MultiLayerNetwork,checkpoint_7_MultiLayerNetwork.zip
8,1730935090746,53,0,MultiLayerNetwork,checkpoint_8_MultiLayerNetwork.zip
9,1730935127018,59,0,MultiLayerNetwork,checkpoint_9_MultiLayerNetwork.zip
10,1730935163191,65,0,MultiLayerNetwork,checkpoint_10_MultiLayerNetwork.zip
11,1730935199506,71,0,MultiLayerNetwork,checkpoint_11_MultiLayerNetwork.zip
12,1730935235822,77,0,MultiLayerNetwork,checkpoint_12_MultiLayerNetwork.zip
13,1730935271830,83,0,MultiLayerNetwork,checkpoint_13_MultiLayerNetwork.zip
14,1730935307039,89,0,MultiLayerNetwork,checkpoint_14_MultiLayerNetwork.zip
15,1730935341613,95,0,MultiLayerNetwork,checkpoint_15_MultiLayerNetwork.zip
16,1730935377320,101,0,MultiLayerNetwork,checkpoint_16_MultiLayerNetwork.zip
