checkpointNum,timestamp,iteration,epoch,modelType,filename
0,1730933904942,5,0,MultiLayerNetwork,checkpoint_0_MultiLayerNetwork.zip
1,1730933941020,11,0,MultiLayerNetwork,checkpoint_1_MultiLayerNetwork.zip
2,1730933977002,17,0,MultiLayerNetwork,checkpoint_2_MultiLayerNetwork.zip
3,1730934008320,23,0,MultiLayerNetwork,checkpoint_3_MultiLayerNetwork.zip
4,1730934039472,29,0,MultiLayerNetwork,checkpoint_4_MultiLayerNetwork.zip
5,1730934072390,35,0,MultiLayerNetwork,checkpoint_5_MultiLayerNetwork.zip
6,1730934105167,41,0,MultiLayerNetwork,checkpoint_6_MultiLayerNetwork.zip
7,1730934139239,48,0,MultiLayerNetwork,checkpoint_7_MultiLayerNetwork.zip
8,1730934171377,54,0,MultiLayerNetwork,checkpoint_8_MultiLayerNetwork.zip
9,1730934205241,60,0,MultiLayerNetwork,checkpoint_9_MultiLayerNetwork.zip
10,1730934235463,65,0,MultiLayerNetwork,checkpoint_10_MultiLayerNetwork.zip
11,1730934267189,71,0,MultiLayerNetwork,checkpoint_11_MultiLayerNetwork.zip
12,1730934301001,78,0,MultiLayerNetwork,checkpoint_12_MultiLayerNetwork.zip
13,1730934336029,85,0,MultiLayerNetwork,checkpoint_13_MultiLayerNetwork.zip
14,1730934370100,92,0,MultiLayerNetwork,checkpoint_14_MultiLayerNetwork.zip
15,1730934405595,99,0,MultiLayerNetwork,checkpoint_15_MultiLayerNetwork.zip
16,1730934435733,105,0,MultiLayerNetwork,checkpoint_16_MultiLayerNetwork.zip
17,1730934469570,112,0,MultiLayerNetwork,checkpoint_17_MultiLayerNetwork.zip
18,1730934504789,119,0,MultiLayerNetwork,checkpoint_18_MultiLayerNetwork.zip
19,1730934538529,126,0,MultiLayerNetwork,checkpoint_19_MultiLayerNetwork.zip
20,1730934573656,133,0,MultiLayerNetwork,checkpoint_20_MultiLayerNetwork.zip
21,1730934607614,140,0,MultiLayerNetwork,checkpoint_21_MultiLayerNetwork.zip
