checkpointNum,timestamp,iteration,epoch,modelType,filename
0,1730932604929,6,0,MultiLayerNetwork,checkpoint_0_MultiLayerNetwork.zip
1,1730932636282,11,0,MultiLayerNetwork,checkpoint_1_MultiLayerNetwork.zip
2,1730932672795,17,0,MultiLayerNetwork,checkpoint_2_MultiLayerNetwork.zip
3,1730932709271,23,0,MultiLayerNetwork,checkpoint_3_MultiLayerNetwork.zip
4,1730932745768,29,0,MultiLayerNetwork,checkpoint_4_MultiLayerNetwork.zip
5,1730932782174,35,0,MultiLayerNetwork,checkpoint_5_MultiLayerNetwork.zip
6,1730932818515,41,0,MultiLayerNetwork,checkpoint_6_MultiLayerNetwork.zip
7,1730932849388,47,0,MultiLayerNetwork,checkpoint_7_MultiLayerNetwork.zip
8,1730932879879,53,0,MultiLayerNetwork,checkpoint_8_MultiLayerNetwork.zip
9,1730932910036,59,0,MultiLayerNetwork,checkpoint_9_MultiLayerNetwork.zip
10,1730932941052,65,0,MultiLayerNetwork,checkpoint_10_MultiLayerNetwork.zip
11,1730932975421,71,0,MultiLayerNetwork,checkpoint_11_MultiLayerNetwork.zip
12,1730933008427,77,0,MultiLayerNetwork,checkpoint_12_MultiLayerNetwork.zip
13,1730933038506,83,0,MultiLayerNetwork,checkpoint_13_MultiLayerNetwork.zip
14,1730933068636,89,0,MultiLayerNetwork,checkpoint_14_MultiLayerNetwork.zip
15,1730933102863,96,0,MultiLayerNetwork,checkpoint_15_MultiLayerNetwork.zip
16,1730933138618,103,0,MultiLayerNetwork,checkpoint_16_MultiLayerNetwork.zip
17,1730933173984,109,0,MultiLayerNetwork,checkpoint_17_MultiLayerNetwork.zip
18,1730933207788,115,0,MultiLayerNetwork,checkpoint_18_MultiLayerNetwork.zip
19,1730933241774,122,0,MultiLayerNetwork,checkpoint_19_MultiLayerNetwork.zip
20,1730933277361,129,0,MultiLayerNetwork,checkpoint_20_MultiLayerNetwork.zip
21,1730933308075,135,0,MultiLayerNetwork,checkpoint_21_MultiLayerNetwork.zip
22,1730933338687,141,0,MultiLayerNetwork,checkpoint_22_MultiLayerNetwork.zip
23,1730933368849,147,0,MultiLayerNetwork,checkpoint_23_MultiLayerNetwork.zip
24,1730933402709,154,0,MultiLayerNetwork,checkpoint_24_MultiLayerNetwork.zip
25,1730933437904,161,0,MultiLayerNetwork,checkpoint_25_MultiLayerNetwork.zip
26,1730933472573,168,0,MultiLayerNetwork,checkpoint_26_MultiLayerNetwork.zip
27,1730933505586,174,0,MultiLayerNetwork,checkpoint_27_MultiLayerNetwork.zip
28,1730933536419,180,0,MultiLayerNetwork,checkpoint_28_MultiLayerNetwork.zip
29,1730933571929,187,0,MultiLayerNetwork,checkpoint_29_MultiLayerNetwork.zip
